Event Name,Short Name,Event Description,Event Category,Event Start Date,Event Time Starts,Event End Date,Event Time Ends,Free Event,Accesible Event,Event Website,Event Email,Event Telephone,Location,Latitude,Longitude,Event Attendance,Mean Attendance per Day
Pedestrian Sundays,Kensington Day 1,Monthly closure of streets to cars.,Community,2022-05-29,12:00:00 PM,2022-05-29,7:00:00 PM,Yes,Yes,https://www.google.com/search?q=kensingtonmarketbia.com,,+1 416-603-5000,Kensington Market,43.6547,-79.4007,25000,25000
Bike for Brain Health,Mattamy Bike Day 1,Massive charity bike ride on the DVP highway.,Sports / Charity,2022-06-05,6:00:00 AM,2022-06-05,1:00:00 PM,No,Yes,bikeforbrainhealth.ca,info@baycrest.org,+1 416-785-2500,Don Valley Parkway,43.6655,-79.3541,15000,15000
Luminato Festival,Luminato Day 1,International arts festival featuring large scale installations.,Arts / Culture,2022-06-09,10:00:00,2022-06-09,11:00:00 PM,Yes,Yes,luminatofestival.com,info@luminato.com,+1 416-368-3745,Various Locations,43.6475,-79.3815,250000,25000
Luminato Festival,Luminato Day 2,International arts festival featuring large scale installations.,Arts / Culture,2022-06-10,10:00:00,2022-06-10,11:00:00 PM,Yes,Yes,luminatofestival.com,info@luminato.com,+1 416-368-3745,Various Locations,43.6475,-79.3815,250000,25000
Luminato Festival,Luminato Day 3,International arts festival featuring large scale installations.,Arts / Culture,2022-06-11,10:00:00,2022-06-11,11:00:00 PM,Yes,Yes,luminatofestival.com,info@luminato.com,+1 416-368-3745,Various Locations,43.6475,-79.3815,250000,25000
Roncy Rocks,Roncy Rocks Day 1,Celebration of music and arts on Roncesvalles.,Arts / Music,2022-06-11,10:00:00 AM,2022-06-11,8:00:00 PM,Yes,Yes,roncesvallesvillage.ca,info@roncesvallesvillage.ca,+1 416-535-8555,Roncesvalles Ave,43.6452,-79.4485,40000,40000
The Junction Summer Solstice,Junction Day 1,"Music, art and local market festival.",Community / Music,2022-06-18,12:00:00 PM,2022-06-18,11:59:00 PM,Yes,Yes,https://www.google.com/search?q=torontojunction.com,,+1 416-767-9169,The Junction,43.6657,-79.4678,35000,35000
Pride Toronto Festival,Pride Toronto Day 1,Major festival celebrating 2SLGBTQ+ communities.,Community / Festival,2022-06-24,10:00:00 AM,2022-06-24,11:00:00 PM,Yes,Yes,pridetoronto.com,office@pridetoronto.com,+1 416-927-7433,Church-Wellesley Village,43.6656,-79.3809,2400000,800000
Pride Toronto Festival,Pride Toronto Day 2,Major festival celebrating 2SLGBTQ+ communities.,Community / Festival,2022-06-25,10:00:00 AM,2022-06-25,11:00:00 PM,Yes,Yes,pridetoronto.com,office@pridetoronto.com,+1 416-927-7433,Church-Wellesley Village,43.6656,-79.3809,2400000,800000
Pedestrian Sundays,Kensington Day 2,Monthly closure of streets to cars.,Community,2022-06-26,12:00:00 PM,2022-06-26,7:00:00 PM,Yes,Yes,https://www.google.com/search?q=kensingtonmarketbia.com,,+1 416-603-5000,Kensington Market,43.6547,-79.4007,25000,25000
Pride Toronto Festival,Pride Toronto Day 3,Final day featuring the main Pride Parade.,Community / Festival,2022-06-26,10:00:00 AM,2022-06-26,11:00:00 PM,Yes,Yes,pridetoronto.com,office@pridetoronto.com,+1 416-927-7433,Church-Wellesley Village,43.6656,-79.3809,2400000,800000
Salsa on St. Clair,Salsa on St. Clair Day 1,Canada's hottest salsa party and street festival.,Festival / Dance,2022-07-09,12:00:00 PM,2022-07-09,10:00:00 PM,Yes,Yes,salsaintoronto.com,info@salsaintoronto.com,+1 416-744-5732,St. Clair Ave West,43.6781,-79.4312,350000,175000
Salsa on St. Clair,Salsa on St. Clair Day 2,Canada's hottest salsa party and street festival.,Festival / Dance,2022-07-10,12:00:00 PM,2022-07-10,9:00:00 PM,Yes,Yes,salsaintoronto.com,info@salsaintoronto.com,+1 416-744-5732,St. Clair Ave West,43.6781,-79.4312,350000,175000
Honda Indy Toronto,Honda Indy Day 1,IndyCar Series racing on the streets of Exhibition Place.,Sports / Racing,2022-07-15,8:00:00,2022-07-15,6:00:00 PM,No,Yes,hondaindy.com,info@hondaindy.com,+1 416-588-7223,Exhibition Place,43.6328,-79.4116,150000,50000
Toronto Outdoor Art Fair,TOAF Day 1,Canada's largest outdoor art exhibition.,Arts / Culture,2022-07-15,10:00:00 AM,2022-07-15,7:00:00 PM,Yes,Yes,toaf.ca,info@toaf.ca,+1 416-646-0190,Nathan Phillips Square,43.6535,-79.3839,150000,50000
Honda Indy Toronto,Honda Indy Day 2,IndyCar Series racing on the streets of Exhibition Place.,Sports / Racing,2022-07-16,8:00:00,2022-07-16,6:00:00 PM,No,Yes,hondaindy.com,info@hondaindy.com,+1 416-588-7223,Exhibition Place,43.6328,-79.4116,150000,50000
Toronto Outdoor Art Fair,TOAF Day 2,Canada's largest outdoor art exhibition.,Arts / Culture,2022-07-16,10:00:00 AM,2022-07-16,7:00:00 PM,Yes,Yes,toaf.ca,info@toaf.ca,+1 416-646-0190,Nathan Phillips Square,43.6535,-79.3839,150000,50000
Festival of South Asia,South Asia Day 1,Cultural festival with food and performances.,Festival / Culture,2022-07-16,12:00:00 PM,2022-07-16,11:00:00 PM,Yes,Yes,festivalofsouthasia.ca,info@gerrardindiabazaar.com,+1 416-465-8555,Gerrard India Bazaar,43.6722,-79.3218,200000,100000
Honda Indy Toronto,Honda Indy Day 3,Final championship race of the Honda Indy Toronto.,Sports / Racing,2022-07-17,8:00:00,2022-07-17,6:00:00 PM,No,Yes,hondaindy.com,info@hondaindy.com,+1 416-588-7223,Exhibition Place,43.6328,-79.4116,150000,50000
Toronto Outdoor Art Fair,TOAF Day 3,Canada's largest outdoor art exhibition.,Arts / Culture,2022-07-17,10:00:00 AM,2022-07-17,5:00:00 PM,Yes,Yes,toaf.ca,info@toaf.ca,+1 416-646-0190,Nathan Phillips Square,43.6535,-79.3839,150000,50000
Festival of South Asia,South Asia Day 2,Cultural festival with food and performances.,Festival / Culture,2022-07-17,12:00:00 PM,2022-07-17,11:00:00 PM,Yes,Yes,festivalofsouthasia.ca,info@gerrardindiabazaar.com,+1 416-465-8555,Gerrard India Bazaar,43.6722,-79.3218,200000,100000
BIG on Bloor Festival,BIG Bloor Day 1,Celebration of community arts and culture.,Arts / Community,2022-07-23,12:00:00 PM,2022-07-23,11:59:00 PM,Yes,Yes,bigonbloorfestival.com,info@bigonbloor.com,+1 416-645-5600,Bloor St West (Lansdowne),43.6591,-79.4442,100000,50000
BIG on Bloor Festival,BIG Bloor Day 2,Celebration of community arts and culture.,Arts / Community,2022-07-24,12:00:00 PM,2022-07-24,6:00:00 PM,Yes,Yes,bigonbloorfestival.com,info@bigonbloor.com,+1 416-645-5600,Bloor St West (Lansdowne),43.6591,-79.4442,100000,50000
Toronto Caribbean Carnival,Caribana Day 1,Massive cultural festival celebrating Caribbean culture and spirit.,Festival / Culture,2022-07-28,9:00:00 AM,2022-07-28,10:00:00 PM,Yes,Yes,torontocarnival.ca,info@torontocarnival.ca,+1 416-391-5608,Various Locations,43.63,-79.412,1200000,300000
Veld Music Festival,Veld Day 1,Electronic and Hip-Hop music festival at Downsview Park.,Music Festival,2022-07-29,13:00:00,2022-07-29,11:00:00 PM,No,Yes,veldmusicfestival.com,info@inkentertainment.com,+1 416-869-9444,Downsview Park,43.7374,-79.4795,90000,30000
Toronto Caribbean Carnival,Caribana Day 2,Massive cultural festival celebrating Caribbean culture and spirit.,Festival / Culture,2022-07-29,9:00:00 AM,2022-07-29,11:00:00 PM,Yes,Yes,torontocarnival.ca,info@torontocarnival.ca,+1 416-391-5608,Various Locations,43.63,-79.412,1200000,300000
Veld Music Festival,Veld Day 2,Electronic and Hip-Hop music festival at Downsview Park.,Music Festival,2022-07-30,13:00:00,2022-07-30,11:00:00 PM,No,Yes,veldmusicfestival.com,info@inkentertainment.com,+1 416-869-9444,Downsview Park,43.7374,-79.4795,90000,30000
Toronto Caribbean Carnival,Caribana Day 3,"The Grand Parade day, the festival's largest highlight.",Festival / Culture,2022-07-30,8:00:00 AM,2022-07-30,10:00:00 PM,Yes,Yes,torontocarnival.ca,info@torontocarnival.ca,+1 416-391-5608,Exhibition Place / Lakeshore,43.6291,-79.419,1200000,300000
Veld Music Festival,Veld Day 3,Electronic and Hip-Hop music festival at Downsview Park.,Music Festival,2022-07-31,13:00:00,2022-07-31,11:00:00 PM,No,Yes,veldmusicfestival.com,info@inkentertainment.com,+1 416-869-9444,Downsview Park,43.7374,-79.4795,90000,30000
Pedestrian Sundays,Kensington Day 3,Monthly closure of streets to cars.,Community,2022-07-31,12:00:00 PM,2022-07-31,7:00:00 PM,Yes,Yes,https://www.google.com/search?q=kensingtonmarketbia.com,,+1 416-603-5000,Kensington Market,43.6547,-79.4007,25000,25000
Toronto Caribbean Carnival,Caribana Day 4,Final day of cultural celebrations and community events.,Festival / Culture,2022-07-31,10:00:00 AM,2022-07-31,8:00:00 PM,Yes,Yes,torontocarnival.ca,info@torontocarnival.ca,+1 416-391-5608,Various Locations,43.63,-79.412,1200000,300000
JerkFest Toronto,JerkFest Day 1,Food and music festival at Centennial Park.,Food / Music,2022-08-05,5:00:00 PM,2022-08-05,10:00:00 PM,No,Yes,jerkfestival.ca,info@jerkfestival.ca,+1 416-394-8750,Centennial Park,43.6504,-79.5878,60000,20000
Taste of the Danforth,Danforth Day 1,One of Canada's largest street festivals celebrating Greek culture.,Food / Festival,2022-08-05,6:00:00 PM,2022-08-05,11:59:00 PM,Yes,Yes,tasteofthedanforth.com,info@greektowntoronto.com,+1 416-469-5621,Danforth Avenue,43.679,-79.345,1600000,533333
JerkFest Toronto,JerkFest Day 2,Food and music festival at Centennial Park.,Food / Music,2022-08-06,11:00:00 AM,2022-08-06,10:00:00 PM,No,Yes,jerkfestival.ca,info@jerkfestival.ca,+1 416-394-8750,Centennial Park,43.6504,-79.5878,60000,20000
Vegandale Festival,Vegandale Day 1,Massive vegan food and music festival.,Food / Festival,2022-08-06,11:00:00 AM,2022-08-06,7:00:00 PM,No,Yes,vegandalefest.com,info@vegandalefest.com,+1 647-930-4100,Fort York Garrison,43.6385,-79.4055,30000,30000
Taste of the Danforth,Danforth Day 2,One of Canada's largest street festivals celebrating Greek culture.,Food / Festival,2022-08-06,12:00:00 PM,2022-08-06,11:59:00 PM,Yes,Yes,tasteofthedanforth.com,info@greektowntoronto.com,+1 416-469-5621,Danforth Avenue,43.679,-79.345,1600000,533333
JerkFest Toronto,JerkFest Day 3,Food and music festival at Centennial Park.,Food / Music,2022-08-07,11:00:00 AM,2022-08-07,10:00:00 PM,No,Yes,jerkfestival.ca,info@jerkfestival.ca,+1 416-394-8750,Centennial Park,43.6504,-79.5878,60000,20000
Taste of the Danforth,Danforth Day 3,One of Canada's largest street festivals celebrating Greek culture.,Food / Festival,2022-08-07,12:00:00 PM,2022-08-07,10:00:00 PM,Yes,Yes,tasteofthedanforth.com,info@greektowntoronto.com,+1 416-469-5621,Danforth Avenue,43.679,-79.345,1600000,533333
Waterfront Night Market,WNM Day 1,Pan-Asian food and lifestyle market.,Food / Festival,2022-08-12,6:00:00 PM,2022-08-12,11:59:00 PM,No,Yes,waterfrontnightmarket.com,info@wnm.ca,+1 647-812-7065,Ontario Place,43.6285,-79.4154,120000,40000
Wheels on the Danforth,Wheels Day 1,Community street festival and car show.,Community / Car Show,2022-08-13,11:00:00 AM,2022-08-13,10:00:00 PM,Yes,Yes,wheelsonthedanforth.ca,info@crossroadsbia.ca,+1 416-693-8346,Danforth Ave / Danforth Rd,43.6934,-79.2778,50000,50000
Waterfront Night Market,WNM Day 2,Pan-Asian food and lifestyle market.,Food / Festival,2022-08-13,4:00:00 PM,2022-08-13,11:59:00 PM,No,Yes,waterfrontnightmarket.com,info@wnm.ca,+1 647-812-7065,Ontario Place,43.6285,-79.4154,120000,40000
Waterfront Night Market,WNM Day 3,Pan-Asian food and lifestyle market.,Food / Festival,2022-08-14,4:00:00 PM,2022-08-14,10:00:00 PM,No,Yes,waterfrontnightmarket.com,info@wnm.ca,+1 647-812-7065,Ontario Place,43.6285,-79.4154,120000,40000
Harry Styles: Love On Tour,Harry Styles Day 1,Major solo performance at the Scotiabank Arena.,Concert,2022-08-15,20:00:00,2022-08-15,11:00:00 PM,No,Yes,scotiabankarena.com,info@mlse.com,+1 416-815-5500,Scotiabank Arena,43.6435,-79.3791,40000,20000
Harry Styles: Love On Tour,Harry Styles Day 2,Major solo performance at the Scotiabank Arena.,Concert,2022-08-16,20:00:00,2022-08-16,11:00:00 PM,No,Yes,scotiabankarena.com,info@mlse.com,+1 416-815-5500,Scotiabank Arena,43.6435,-79.3791,40000,20000
Canadian National Exhibition,CNE Day 1,Canada's largest annual community event (The Ex).,Exhibition / Fair,2022-08-19,10:00:00 AM,2022-08-19,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1560000,86667
Sweetery Toronto,Sweetery Day 1,Largest sweets and desserts festival.,Food / Festival,2022-08-20,12:00:00 PM,2022-08-20,11:00:00 PM,Yes,Yes,sweeterytoronto.com,info@sweeterytoronto.com,+1 647-493-2283,David Pecaut Square,43.6465,-79.3872,40000,20000
Canadian National Exhibition,CNE Day 2,Canada's largest annual community event (The Ex).,Exhibition / Fair,2022-08-20,10:00:00 AM,2022-08-20,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1560000,86667
Sweetery Toronto,Sweetery Day 2,Largest sweets and desserts festival.,Food / Festival,2022-08-21,12:00:00 PM,2022-08-21,9:00:00 PM,Yes,Yes,sweeterytoronto.com,info@sweeterytoronto.com,+1 647-493-2283,David Pecaut Square,43.6465,-79.3872,40000,20000
Canadian National Exhibition,CNE Day 3,Canada's largest annual community event (The Ex).,Exhibition / Fair,2022-08-21,10:00:00 AM,2022-08-21,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1560000,86667
Canadian National Exhibition,CNE Day 4,Canada's largest annual community event (The Ex).,Exhibition / Fair,2022-08-22,10:00:00 AM,2022-08-22,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1560000,86667
Canadian National Exhibition,CNE Day 5,Canada's largest annual community event (The Ex).,Exhibition / Fair,2022-08-23,10:00:00 AM,2022-08-23,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1560000,86667
Canadian National Exhibition,CNE Day 6,Canada's largest annual community event (The Ex).,Exhibition / Fair,2022-08-24,10:00:00 AM,2022-08-24,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1560000,86667
Canadian National Exhibition,CNE Day 7,"Annual fair featuring midway rides, food, and shopping.",Exhibition / Fair,2022-08-25,10:00:00 AM,2022-08-25,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1560000,86667
Fan Expo Canada,Fan Expo Day 1,"Massive pop culture, comic and gaming convention",Convention,2022-08-25,4:00:00 PM,2022-08-25,21:00:00,No,Yes,fanexpocanada.com,info@fanexpo.com,+1 416-585-8000,MTCC,43.6444,-79.3854,135000,33750
Canadian National Exhibition,CNE Day 8,"Annual fair featuring midway rides, food, and shopping.",Exhibition / Fair,2022-08-26,10:00:00 AM,2022-08-26,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1560000,86667
Fan Expo Canada,Fan Expo Day 2,"Massive pop culture, comic and gaming convention",Convention,2022-08-26,10:00:00 AM,2022-08-26,19:00:00,No,Yes,fanexpocanada.com,info@fanexpo.com,+1 416-585-8000,MTCC,43.6444,-79.3854,135000,33750
Canadian National Exhibition,CNE Day 9,"Annual fair featuring midway rides, food, and shopping.",Exhibition / Fair,2022-08-27,10:00:00 AM,2022-08-27,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1560000,86667
Fan Expo Canada,Fan Expo Day 3,"Massive pop culture, comic and gaming convention",Convention,2022-08-27,10:00:00 AM,2022-08-27,19:00:00,No,Yes,fanexpocanada.com,info@fanexpo.com,+1 416-585-8000,MTCC,43.6444,-79.3854,135000,33750
Canadian National Exhibition,CNE Day 10,"Annual fair featuring midway rides, food, and shopping.",Exhibition / Fair,2022-08-28,10:00:00 AM,2022-08-28,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1560000,86667
Fan Expo Canada,Fan Expo Day 4,"Massive pop culture, comic and gaming convention",Convention,2022-08-28,10:00:00 AM,2022-08-28,17:00:00,No,Yes,fanexpocanada.com,info@fanexpo.com,+1 416-585-8000,MTCC,43.6444,-79.3854,135000,33750
Canadian National Exhibition,CNE Day 11,"Annual fair featuring midway rides, food, and shopping.",Exhibition / Fair,2022-08-29,10:00:00 AM,2022-08-29,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1560000,86667
Canadian National Exhibition,CNE Day 12,"Annual fair featuring midway rides, food, and shopping.",Exhibition / Fair,2022-08-30,10:00:00 AM,2022-08-30,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1560000,86667
Canadian National Exhibition,CNE Day 13,"Annual fair featuring midway rides, food, and shopping.",Exhibition / Fair,2022-08-31,10:00:00 AM,2022-08-31,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1560000,86667
Canadian National Exhibition,CNE Day 14,"Annual fair featuring midway rides, food, and shopping.",Exhibition / Fair,2022-09-01,10:00:00 AM,2022-09-01,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1560000,86667
Canadian National Exhibition,CNE Day 15,"Annual fair featuring midway rides, food, and shopping.",Exhibition / Fair,2022-09-02,10:00:00 AM,2022-09-02,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1560000,86667
Canadian International Air Show,Air Show Day 1,High-altitude aerial display over the Toronto waterfront.,Exhibition,2022-09-03,12:00:00,2022-09-03,3:30:00 PM,No,Yes,cias.org,info@cias.org,+1 416-263-3650,Waterfront / CNE,43.6291,-79.419,1000000,333333
Canadian National Exhibition,CNE Day 16,Featuring the Canadian International Air Show.,Exhibition / Fair,2022-09-03,10:00:00 AM,2022-09-03,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1560000,86667
Canadian International Air Show,Air Show Day 2,High-altitude aerial display over the Toronto waterfront.,Exhibition,2022-09-04,12:00:00,2022-09-04,3:30:00 PM,No,Yes,cias.org,info@cias.org,+1 416-263-3650,Waterfront / CNE,43.6291,-79.419,1000000,333333
Canadian National Exhibition,CNE Day 17,Featuring the Canadian International Air Show.,Exhibition / Fair,2022-09-04,10:00:00 AM,2022-09-04,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1560000,86667
Canadian International Air Show,Air Show Day 3,Final aerial display of the season on Labor Day.,Exhibition,2022-09-05,12:00:00,2022-09-05,3:30:00 PM,No,Yes,cias.org,info@cias.org,+1 416-263-3650,Waterfront / CNE,43.6291,-79.419,1000000,333333
Canadian National Exhibition,CNE Day 18,Final day of the exhibition on Labor Day.,Exhibition / Fair,2022-09-05,10:00:00 AM,2022-09-05,9:00:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1560000,86667
Toronto Int. Film Festival,TIFF Day 1,One of the largest publicly attended film festivals.,Arts / Cinema,2022-09-08,9:00:00 AM,2022-09-08,11:59:00 PM,No,Yes,tiff.net,customerrelations@tiff.net,+1 416-599-2033,TIFF Bell Lightbox,43.6464,-79.3905,450000,40909
Toronto Int. Film Festival,TIFF Day 2,One of the largest publicly attended film festivals.,Arts / Cinema,2022-09-09,9:00:00 AM,2022-09-09,11:59:00 PM,No,Yes,tiff.net,customerrelations@tiff.net,+1 416-599-2033,TIFF Bell Lightbox,43.6464,-79.3905,450000,40909
Cabbagetown Festival,Cabbagetown Day 1,Historic neighborhood street festival.,Community / Food,2022-09-10,11:00:00 AM,2022-09-10,10:00:00 PM,Yes,Yes,cabbagetownfestival.org,info@cabbagetownbia.com,+1 416-921-0857,Parliament Street,43.6668,-79.3683,150000,75000
Toronto Int. Film Festival,TIFF Day 3,One of the largest publicly attended film festivals.,Arts / Cinema,2022-09-10,9:00:00 AM,2022-09-10,11:59:00 PM,No,Yes,tiff.net,customerrelations@tiff.net,+1 416-599-2033,TIFF Bell Lightbox,43.6464,-79.3905,450000,40909
Cabbagetown Festival,Cabbagetown Day 2,Historic neighborhood street festival.,Community / Food,2022-09-11,11:00:00 AM,2022-09-11,7:00:00 PM,Yes,Yes,cabbagetownfestival.org,info@cabbagetownbia.com,+1 416-921-0857,Parliament Street,43.6668,-79.3683,150000,75000
Toronto Int. Film Festival,TIFF Day 4,One of the largest publicly attended film festivals.,Arts / Cinema,2022-09-11,9:00:00 AM,2022-09-11,11:59:00 PM,No,Yes,tiff.net,customerrelations@tiff.net,+1 416-599-2033,TIFF Bell Lightbox,43.6464,-79.3905,450000,40909
Toronto Int. Film Festival,TIFF Day 5,One of the largest publicly attended film festivals.,Arts / Cinema,2022-09-12,9:00:00 AM,2022-09-12,11:59:00 PM,No,Yes,tiff.net,customerrelations@tiff.net,+1 416-599-2033,TIFF Bell Lightbox,43.6464,-79.3905,450000,40909
Toronto Int. Film Festival,TIFF Day 6,One of the largest publicly attended film festivals.,Arts / Cinema,2022-09-13,9:00:00 AM,2022-09-13,11:59:00 PM,No,Yes,tiff.net,customerrelations@tiff.net,+1 416-599-2033,TIFF Bell Lightbox,43.6464,-79.3905,450000,40909
Toronto Int. Film Festival,TIFF Day 7,One of the largest publicly attended film festivals.,Arts / Cinema,2022-09-14,9:00:00 AM,2022-09-14,11:59:00 PM,No,Yes,tiff.net,customerrelations@tiff.net,+1 416-599-2033,TIFF Bell Lightbox,43.6464,-79.3905,450000,40909
Toronto Int. Film Festival,TIFF Day 8,One of the largest publicly attended film festivals.,Arts / Cinema,2022-09-15,9:00:00 AM,2022-09-15,11:59:00 PM,No,Yes,tiff.net,customerrelations@tiff.net,+1 416-599-2033,TIFF Bell Lightbox,43.6464,-79.3905,450000,40909
Toronto Int. Film Festival,TIFF Day 9,One of the largest publicly attended film festivals.,Arts / Cinema,2022-09-16,9:00:00 AM,2022-09-16,11:59:00 PM,No,Yes,tiff.net,customerrelations@tiff.net,+1 416-599-2033,TIFF Bell Lightbox,43.6464,-79.3905,450000,40909
Eglinton Way Art Walk,Art Walk Day 1,Outdoor art stroll through Eglinton Way.,Arts / Culture,2022-09-17,10:00:00 AM,2022-09-17,5:00:00 PM,Yes,Yes,theeglintonway.com,info@theeglintonway.com,+1 416-487-3777,Eglinton Way,43.7027,-79.415,15000,7500
Toronto Int. Film Festival,TIFF Day 10,One of the largest publicly attended film festivals.,Arts / Cinema,2022-09-17,9:00:00 AM,2022-09-17,11:59:00 PM,No,Yes,tiff.net,customerrelations@tiff.net,+1 416-599-2033,TIFF Bell Lightbox,43.6464,-79.3905,450000,40909
Eglinton Way Art Walk,Art Walk Day 2,Outdoor art stroll through Eglinton Way.,Arts / Culture,2022-09-18,10:00:00 AM,2022-09-18,5:00:00 PM,Yes,Yes,theeglintonway.com,info@theeglintonway.com,+1 416-487-3777,Eglinton Way,43.7027,-79.415,15000,7500
Toronto Int. Film Festival,TIFF Day 11,One of the largest publicly attended film festivals.,Arts / Cinema,2022-09-18,9:00:00 AM,2022-09-18,11:59:00 PM,No,Yes,tiff.net,customerrelations@tiff.net,+1 416-599-2033,TIFF Bell Lightbox,43.6464,-79.3905,450000,40909
The Weeknd: After Hours til Dawn,The Weeknd Concert,Massive stadium homecoming concert tour at the Rogers Centre.,Concert,2022-09-22,19:00:00,2022-09-22,11:30:00 PM,No,Yes,rogerscentre.com,info@rogerscentre.com,+1 416-341-1000,Rogers Centre,43.6414,-79.3894,50000,50000
Nuit Blanche Toronto,Nuit Blanche Day 1,City-wide all-night contemporary art celebration.,Arts / Culture,2022-10-01,19:00:00,2022-10-02,7:00:00 AM,Yes,Yes,toronto.ca/nuitblanche,nuitblanche@toronto.ca,+1 416-338-0338,Citywide,43.6532,-79.3832,1200000,1200000
